iter	Passed	Remaining
0	0	70
1	1	59
2	1	55
3	2	65
4	3	71
5	4	74
6	5	77
7	7	80
8	7	80
9	8	79
10	9	79
11	10	78
12	11	78
13	12	77
14	13	76
15	14	75
16	15	74
17	16	73
18	16	72
19	17	70
20	18	70
21	19	69
22	20	68
23	21	67
24	22	66
25	22	65
26	23	64
27	24	62
28	25	61
29	25	60
30	26	59
31	27	58
32	28	56
33	28	56
34	29	54
35	30	53
36	30	52
37	31	51
38	32	50
39	32	49
40	33	48
41	34	47
42	34	46
43	35	44
44	35	43
45	36	42
46	37	41
47	37	40
48	38	39
49	38	38
50	39	37
51	40	36
52	40	36
53	41	35
54	41	34
55	42	33
56	42	32
57	43	31
58	44	30
59	44	29
60	45	28
61	45	28
62	46	27
63	46	26
64	47	25
65	47	24
66	48	23
67	48	22
68	49	22
69	49	21
70	50	20
71	50	19
72	51	19
73	51	18
74	52	17
75	52	16
76	53	15
77	53	15
78	54	14
79	54	13
80	55	12
81	55	12
82	56	11
83	56	10
84	57	10
85	57	9
86	58	8
87	58	8
88	59	7
89	59	6
90	60	5
91	60	5
92	61	4
93	61	3
94	62	3
95	62	2
96	63	1
97	63	1
98	64	0
99	64	0
